idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,"['A-2', 'R-B', 'HRC', 'R-10', 'R-7', 'R-40', 'US', 'L-I', 'R-65', 'P-1', 'A-1', 'PUD', 'AH', '32', 'R-6', 'R-20', 'R-15', 'R-100', 'R-12', 'OR', 'FAR', 'O-1', 'R-75', 'CC', 'IV', 'D-1', 'G-1', '36', 'PARK', '35']",30,234,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['PC', 'OS', 'RL', 'RV', 'R-2', 'OR', 'IL', 'FAR', 'RM', 'ABC', 'MU', 'R-1', 'RH']",13,26,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['A-2', 'R-4', 'PP', 'PRD', 'P-1', 'R-3', 'PCD', 'A-1', 'R-1-C', 'PUD', 'TH-1', '32', 'CP', 'E-1', 'B-2', 'E-3', 'NO', 'B-1', 'R-2', 'B-3', 'OP', 'C-2', 'FAR', 'C-1', '34', 'CC', 'LM', 'IV', 'E-2', 'I-1', 'CO', 'CS', '36', '35']",34,576,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['R-3', 'A-R', 'M-1', 'M-2', 'RV', 'R-2', 'C-2', 'C-1', 'TOD', 'R-1', 'C-3']",11,12,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['R2', 'C2', 'R4', 'R1', 'R3', 'MXD', 'RB', 'R5', 'C1', 'DT']",10,14,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,['PUD'],1,4,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,"['D1', 'R-4', 'D4', 'R-3', 'C2', '32', 'OS', 'R-6', 'B-2', 'B3', 'O-2', 'B-1', 'R-2', 'B-3', 'OR', 'FAR', 'D2', 'C3', 'D3', 'O-1', 'B2', '34', 'IV', 'C1', 'B1', 'DR', 'R-1', 'O-3', '36', '35', 'HS', 'R-5']",32,345,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,[],0,0,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,"['R-4', 'PP', 'PUD-1', 'CB', 'RO', 'R-3', 'IN', 'PUD', '32', 'TV', 'RV', 'NO', 'OSR', 'R-2', 'OR', 'AT', 'IL', 'CAR', 'SE', 'NB', 'D-1', 'R-1', 'PARK', '35']",24,184,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['R-4', 'PP', 'CR', 'R-3', 'A-1', 'I-3', 'R-6', 'R-2', 'ER', 'C-2', 'CBD', 'C-1', 'I-1', 'R-1', 'I-2', 'BP', 'C-3', 'R-5']",18,41,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
43,Illinois,Cook County,WINNETKA,"['R-4', 'R-3', 'B-2', 'B-1', 'R-2', 'C-2', 'C-1', 'R-1', 'R-5']",9,17,https://codelibrary.amlegal.com/codes/winnetka/latest/overview,codelibrary
45,Illinois,DuPage County,WINFIELD,"['OR', 'CAR']",2,17,https://codelibrary.amlegal.com/codes/winfieldil/latest/overview,codelibrary
46,Illinois,Jersey County,JERSEYVILLE,['NO'],1,1,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
47,Illinois,Lake County,LAKE ZURICH,"['D1', 'R-1/2', 'R-6', 'D2', 'D3', 'DR']",6,10,https://codelibrary.amlegal.com/codes/lakezurichil/latest/overview,codelibrary
49,Illinois,Lake County,WINTHROP HARBOR,"['R-4', 'R-3', 'IN', 'PUD', 'OS', 'R-6', 'BB', 'B-2', 'B-1', 'R-2', 'B-3', 'OR', 'B-5', 'CBD', 'B-4', 'I-1', 'R-1', 'SO', '36', 'I-2', 'DT', '35', 'R-5']",23,178,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Sangamon County,CHATHAM,"['R1A', 'P-1', 'R-3', 'IN', 'PUD', '32', 'TV', 'B-2', 'R-3A', 'B-1', 'R-2', 'OR', 'CAR', '34', 'R-1A', 'RM-4', 'I-1', 'R-1', '38', '36', 'I-2', 'PARK', '35']",23,127,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
51,Illinois,Will County,LOCKPORT,"['C-4', 'R-4', 'R2', 'R-3', 'IN', 'A-1', 'C2', 'M-1', 'M-2', 'R4', 'RV', 'R1', 'R3', 'O-2', 'R-2', 'OR', 'C-2', 'C3', 'CMU', 'CAR', 'O-1', 'C-1', '34', 'R-O', 'IV', 'C1', 'R-1', '36', 'FSC', 'PARK', '35', 'C-3', 'E-R']",33,158,https://codelibrary.amlegal.com/codes/lockport/latest/overview,codelibrary
52,Illinois,Will County,MOKENA,[],0,0,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
66,Illinois,Will County,ROMEOVILLE,"['R-7', 'R-4', 'BR', 'PP', 'P-1', 'PVC', 'R-3', 'A-1', 'PUD', '32', 'TV', 'R-6', 'BB', 'M-1', 'M-2', 'B-2', 'B-1', 'R-2', 'B-3', 'OR', 'R-5A', 'FAR', 'B-4', '34', 'CC', 'ABC', 'IV', 'R-1', '38', '36', 'PB', 'PARK', '35', 'M-R', 'E-R', 'R-5']",36,325,https://codelibrary.amlegal.com/codes/romeoville/latest/overview,codelibrary
