idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
6,California,Contra Costa County,DANVILLE,[],0,0,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
9,California,Los Angeles County,TEMPLE CITY,"['A', 'C', 'I', 'IL', 'MU', 'OS', 'P', 'RH', 'RL', 'RM']",10,14,https://library.municode.com/ca/beaumont,NOT_FOUND
25,Florida,Broward County,COOPER CITY,"['A', 'A-1', 'B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'CS', 'E-1', 'E-2', 'E-3', 'I', 'I-1', 'IV', 'OP', 'P-1', 'PCD', 'PRD', 'R-1-C', 'R-2', 'R-3', 'R-4', 'TH-1']",23,34,https://library.municode.com/fl/ocoee,NOT_FOUND
34,Idaho,Canyon County,MIDDLETON,"['A', 'B']",2,2,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
36,Illinois,Cook County,WESTERN SPRINGS,"['A', 'B', 'C1', 'C2', 'DT', 'MXD', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",13,24,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
37,Illinois,DuPage County,BARTLETT,"['A', 'B']",2,2,https://library.municode.com/il/geneva,NOT_FOUND
38,Illinois,DuPage County,HINSDALE,[],0,0,https://library.municode.com/il/oswego,NOT_FOUND
39,Illinois,Grundy County,MINOOKA,"['A', 'B', 'B1', 'B2', 'R1', 'R1A', 'R2', 'R3', 'R4', 'R5', 'R6']",11,14,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
42,Illinois,Lake County,LINDENHURST,[],0,0,https://library.municode.com/il/country_club_hills,NOT_FOUND
44,Illinois,Will County,MANHATTAN,"['A', 'A-1', 'B', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S']",22,874,https://library.municode.com/il/burr_ridge,NOT_FOUND
46,Illinois,Cook County,WINNETKA,"['A', 'B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",10,22,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
48,Illinois,DuPage County,WINFIELD,[],0,0,https://library.municode.com/il/round_lake_beach,NOT_FOUND
49,Illinois,Jersey County,JERSEYVILLE,['A'],1,1,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Lake County,LAKE ZURICH,"['A', 'B', 'B-1', 'B-2', 'B-3', 'D1', 'D2', 'D3', 'DR', 'I', 'LP', 'O-1', 'O-2', 'O-3', 'OS', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",20,33,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
52,Illinois,Lake County,WINTHROP HARBOR,[],0,0,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
53,Illinois,Sangamon County,CHATHAM,[],0,0,https://codelibrary.amlegal.com/codes/glencoe/latest/overview,codelibrary
54,Illinois,Will County,LOCKPORT,[],0,0,https://codelibrary.amlegal.com/codes/invernessil/latest/overview,codelibrary
55,Illinois,Will County,MOKENA,"['A', 'A-1', 'B', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",25,30,https://codelibrary.amlegal.com/codes/markham/latest/overview,codelibrary
56,Illinois,Cook County,GLENCOE,"['A', 'B', 'B-1', 'B-2', 'IV', 'R-A', 'R-B', 'R-C']",8,8,https://library.municode.com/il/south_holland,NOT_FOUND
57,Illinois,Cook County,INVERNESS,[],0,0,https://codelibrary.amlegal.com/codes/streamwoodil/latest/overview,codelibrary
69,Illinois,Will County,ROMEOVILLE,[],0,0,https://codelibrary.amlegal.com/codes/cedarlakein/latest/overview,codelibrary
