idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,"['A', 'A-1', 'A-2', 'C', 'CC', 'D-1', 'FAR', 'G-1', 'I', 'IV', 'L-I', 'O-1', 'OR', 'P-1', 'PARK', 'R-B', 'V']",17,18,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['A', 'C', 'I', 'IL', 'MU', 'OR', 'OS', 'P', 'RH', 'RL', 'RM']",11,19,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['A', 'A-1', 'B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'CS', 'E-1', 'E-2', 'E-3', 'I', 'I-1', 'IV', 'OP', 'P-1', 'PCD', 'PRD', 'R-1-C', 'R-2', 'R-3', 'R-4', 'TH-1']",23,68,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['A', 'A-R', 'B', 'C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'RV', 'TOD']",13,29,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['A', 'B', 'C1', 'C2', 'DT', 'MXD', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",13,24,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,"['A', 'B', 'I', 'PUD']",4,21,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,"['A', 'B', 'B-1', 'B-2', 'B-3', 'DR', 'HS', 'I', 'IV', 'O-1', 'O-2', 'O-3', 'OS', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'V']",20,36,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,"['A', 'B', 'B1', 'B2', 'R1', 'R1A', 'R2', 'R3', 'R4', 'R5', 'R6']",11,14,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,"['A', 'B', 'C', 'E', 'G', 'H', 'I']",7,16,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['A', 'A-1', 'B', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S']",22,873,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
43,Illinois,Cook County,WINNETKA,"['A', 'B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",10,31,https://codelibrary.amlegal.com/codes/winnetka/latest/overview,codelibrary
45,Illinois,DuPage County,WINFIELD,"['A', 'B', 'CAR', 'OR', 'S']",5,164,https://codelibrary.amlegal.com/codes/winfieldil/latest/overview,codelibrary
46,Illinois,Jersey County,JERSEYVILLE,"['A', 'B', 'I', 'NO', 'O']",5,15,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
47,Illinois,Lake County,LAKE ZURICH,"['A', 'B', 'B-1', 'B-2', 'B-3', 'D1', 'D2', 'D3', 'DR', 'I', 'LP', 'O-1', 'O-2', 'O-3', 'OS', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",20,33,https://codelibrary.amlegal.com/codes/lakezurichil/latest/overview,codelibrary
49,Illinois,Lake County,WINTHROP HARBOR,"['A', 'B', 'B-1', 'B-4', 'B-5', 'C', 'E', 'G', 'H', 'I', 'OR', 'R-2', 'R-5', 'R-6']",14,59,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Sangamon County,CHATHAM,"['A', 'B', 'C', 'CAR', 'E', 'OR', 'P-1', 'PARK', 'PUD', 'R-2']",10,100,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
51,Illinois,Will County,LOCKPORT,"['A', 'B', 'C', 'C-4', 'CAR', 'E', 'E-R', 'G', 'H', 'I', 'L', 'M', 'O', 'OR', 'P', 'PARK', 'Q', 'R', 'R-1', 'R-O', 'RV', 'S', 'T', 'U', 'V', 'W']",26,337,https://codelibrary.amlegal.com/codes/lockport/latest/overview,codelibrary
52,Illinois,Will County,MOKENA,"['A', 'A-1', 'B', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",26,42,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
53,Illinois,Cook County,GLENCOE,"['A', 'A-1', 'B', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",26,42,https://codelibrary.amlegal.com/codes/glencoe/latest/overview,codelibrary
54,Illinois,Cook County,INVERNESS,"['A', 'A-1', 'B', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",26,42,https://codelibrary.amlegal.com/codes/invernessil/latest/overview,codelibrary
66,Illinois,Will County,ROMEOVILLE,"['A', 'A-1', 'B', 'B-1', 'B-2', 'B-3', 'B-4', 'C', 'E', 'E-R', 'FAR', 'G', 'H', 'I', 'L', 'M', 'M-1', 'M-2', 'M-R', 'O', 'OR', 'P', 'P-1', 'PARK', 'PUD', 'Q', 'R', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-5A', 'R-6', 'R-7', 'S']",36,353,https://codelibrary.amlegal.com/codes/romeoville/latest/overview,codelibrary
67,Illinois,Will County,SHOREWOOD,"['A', 'A-1', 'B', 'B-1', 'B-2', 'B-3', 'B-4', 'C', 'E', 'E-R', 'FAR', 'G', 'H', 'I', 'L', 'M', 'M-1', 'M-2', 'M-R', 'O', 'OR', 'P', 'P-1', 'PARK', 'PUD', 'Q', 'R', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-5A', 'R-6', 'R-7', 'S']",36,353,https://codelibrary.amlegal.com/codes/shorewoodil/latest/overview,codelibrary
70,Indiana,Lake County,DYER,"['A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",12,39,https://codelibrary.amlegal.com/codes/dyer/latest/overview,codelibrary
86,Michigan,Kent County,EAST GRAND RAPIDS,"['A', 'B', 'C-1', 'I', 'IV', 'O-P', 'OR', 'PUD']",8,55,https://codelibrary.amlegal.com/codes/eastgrandrapidsmi/latest/overview,codelibrary
