idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,"['A-1', 'A-2', 'CC', 'D-1', 'FAR', 'G-1', 'IV', 'L-I', 'O-1', 'OR', 'P-1', 'PARK', 'PUD', 'R-10', 'R-100', 'R-12', 'R-15', 'R-20', 'R-40', 'R-6', 'R-65', 'R-7', 'R-75', 'R-B']",24,165,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['ABC', 'CC', 'FAR', 'IL', 'MU', 'NC', 'OR', 'OS', 'PARK', 'PC', 'PD', 'R-1', 'R-2', 'R-3', 'RH', 'RL', 'RM', 'RV']",18,88,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['A-1', 'A-2', 'B-1', 'B-2', 'B-3', 'B1', 'B2', 'B3', 'C-1', 'C-2', 'C1', 'C2', 'CC', 'CP', 'CS', 'E-1', 'E-2', 'E-3', 'FAR', 'I-1', 'IV', 'LM', 'OP', 'P-1', 'P1', 'PCD', 'PP', 'PRD', 'PUD', 'R-1-C', 'R-2', 'R-3', 'R-4', 'R1A', 'R2', 'R3', 'R4', 'TH-1']",38,1044,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['A-R', 'C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'RV', 'TOD']",11,31,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['C1', 'C2', 'DT', 'MXD', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",10,23,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,['PUD'],1,4,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,"['B-1', 'B-2', 'B-3', 'B1', 'B2', 'DR', 'HS', 'IV', 'O-1', 'O-2', 'O-3', 'OS', 'P2', 'P4', 'PB', 'PC', 'PD', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'SB', 'SC', 'SE']",27,228,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,"['B1', 'B2', 'R1', 'R1A', 'R2', 'R3', 'R4', 'R5', 'R6']",9,11,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,"['BA', 'CB', 'IN', 'NB', 'OSR', 'PP', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RO', 'RV', 'SE', 'TV']",15,143,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['A-1', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6']",18,60,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
