idx,city,correctness,top_1,top_2,top_3
0,City of Lincoln (Washington County),2,DIVISION 4.4      Commercial Mixed-Use District Regulations,DIVISION 4.7      Planned Unit Development (PUD),DIVISION 4.2      Agricultural District Regulations
1,City of Albany (Alameda County),1,Chapter 20      Planning and Zoning,Chapter 5      General Licensing and Business Regulations,Chapter 22      Subdivision
2,City of Avalon (Los Angeles County),2,Chapter 5-20      Medical Cannabis Delivery Service Businesses and Other Cannabis Businesses and Activity,Article 2      Minimum Lot Area,Article 1      Commercial Zones
3,City of Compton (Los Angeles County),1,Chapter 30      Zoning,Chapter 9      General Licensing,"Chapter 10      Cable, Video, and Telecommunications Service Providers"
4,City of Firebaugh (Fresno County),1,Chapter 25      Zoning,Chapter 4      Licenses and Business Regulations,Chapter 1      General
5,City of Oakdale (Stanislaus County),1,Chapter 36      Zoning                   [1],Article IX      Local Benefit Districts,"Article VIII      Dedications. Reservations, and Development Fees"
6,Town of Ashford (Windham County),1,Article IV      Zoning Districts,Chapter 8      Agriculture Commission,Article I      General Provisions
7,Town of Bethany (New Haven County),2,Article I      General Provisions,Article I      Land-Use-Related Applications,Chapter 20      Conservation Commission
8,Town of Bethel (Fairfield County),2,Chapter 29      Transit District,Chapter 7      Economic Development Commission,Chapter 21      Resources Recovery Authority
9,Town of Bethlehem (Litchfield County),3,Article I      General Provisions,Article III      Recycling,Article III      Historic District Commission
10,Town of Branford (New Haven County),3,Article I      General Provisions,Article IV      Design Standards,Chapter 82      Resource Recovery Authority
11,Town of Brookfield (Fairfield County),3,Chapter 15      Conservation Commission,Chapter 26      Historic District,Chapter 78      Adult-Oriented Businesses
12,Town of Brooklyn (Windham County),3,Chapter 4      Licensing and Business Regulations,Chapter 20      Fees for Land Use Applications,"Article III      COMMISSIONS, COUNCILS AND AUTHORITIES"
13,Town of Burlington (Hartford County),3,Chapter 12      Conservation Commission,Chapter 21      Economic Development Commission,Chapter 1      General Provisions
14,Town of Canton (Hartford County),3,Article I      Canton Center,Chapter 149      Conservation Commission,Chapter 245      Farming
15,Town of Clinton (Middlesex County),3,Article VI      Economic Development Commission,Chapter 296      Fees,Article III      Loitering or Drinking in Public Areas
16,Town of Colchester (New London County),3,Chapter 136      Town Center Neighborhood Strategic Plan,Article XIV      Agriculture Commission,Chapter 4      Adult-Oriented Businesses
