jurscode,county,muni,premcity,zoneauth,zoning,zoning_name
KENT,Kent,Kent,KENT,COUNTY,AZD,Agricultural
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,A,Agricultural
TALB,Talbot,Trappe,TRAPPE,MUNICIPALITY,A,Agricultural
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,A-1 ,Agricultural - Rural
HARF,Harford,Harford,HARFORD,COUNTY,AG,Agricultural (Conventional Residential)
WASH,Washington,Washington,WASHINGTON,COUNTY,A (R ),Agricultural (Rural)
CHAR,Charles,Charles,CHARLES,COUNTY,AC,Agricultural Conservation
TALB,Talbot,Talbot,TALBOT,COUNTY,AC,Agricultural Conservation
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AC-RCA,Agricultural Conservation -- Resource Conservation Area District
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AC,Agricultural Conservation District
CARR,Carroll,Carroll,CARROLL,COUNTY,A,Agricultural District
TALB,Talbot,Easton,EASTON,MUNICIPALITY,A-1,Agricultural District
WORC,Worcester,Worcester,WORCESTER,COUNTY,A-1,Agricultural District
WORC,Worcester,Worcester,WORCESTER,COUNTY,A-2,Agricultural District
SOME,Somerset,Somerset,SOMERSET,COUNTY,AR,Agricultural Residential
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,AR,Agricultural Resource
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,AR,Agricultural Resource Area
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,AT,Agricultural Transition
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AR,Agricultural-Residential District 
FRED,Frederick,Frederick,FREDERICK,COUNTY,A,Agriculture
QUEE,Queen Anne's,Barclay,BARCLAY,MUNICIPALITY,A,Agriculture
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,A-R,Agriculture district
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,AR,Agriculture District
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,A,Agriculture District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,AR,Agriculture Reserved
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,R-3,Apartment District
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,A.S.,Automotive Service
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,NC-20,avg lot size  20000
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,BSC,Bio-Science Campus Zoning District
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,CBA,Central Business Area
TALB,Talbot,Easton,EASTON,MUNICIPALITY,CR,Central Business Commercial District
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,CBT,Central Business Transition Zone
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,CC,Central commercial district
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,CMPD,Chester Master-Planned Development District 
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,CC-MU,City Center Mixed Use
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,C-1,Commercial
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,C,Commercial
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,C,Commercial 
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,C-1,Commercial District
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,C,Commercial District 
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,C,Commercial District 
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C3,Commercial- General
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C1,Commercial- Local
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,CM,commercial marine
CALV,Calvert,North Beach,NORTH BEACH,MUNICIPALITY,C-M ,Commercial mixed use
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C2,Commercial- Office
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR0.5,Commercial Residential
