idx,state,county,muni,unique_matches,unique_counts,all_counts
3,California,Contra Costa County,DANVILLE,"['A', 'A-1', 'A-2', 'C', 'CC', 'G-1', 'I', 'L-I', 'O-1', 'OR', 'P-1', 'R-B', 'V']",13,14
6,California,Los Angeles County,TEMPLE CITY,"['A', 'C', 'OR']",3,5
22,Florida,Broward County,COOPER CITY,"['A', 'A-1', 'B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'CS', 'E-1', 'I', 'I-1', 'OP', 'P-1', 'PCD', 'PRD', 'R-2', 'R-3', 'R-4']",18,21
31,Idaho,Canyon County,MIDDLETON,"['A', 'A-R', 'B', 'C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'RV', 'TOD']",13,27
33,Illinois,Cook County,WESTERN SPRINGS,"['A', 'B', 'C1', 'C2', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",11,22
34,Illinois,DuPage County,BARTLETT,"['A', 'B', 'I', 'PUD']",4,19
35,Illinois,DuPage County,HINSDALE,"['A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'O-1', 'O-2', 'O-3', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'V']",16,31
36,Illinois,Grundy County,MINOOKA,[],0,0
39,Illinois,Lake County,LINDENHURST,"['A', 'B', 'C', 'E', 'G', 'H', 'I']",7,16
41,Illinois,Will County,MANHATTAN,"['A', 'A-1', 'B', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6']",19,620
43,Illinois,Cook County,WINNETKA,"['A', 'B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",10,22
45,Illinois,DuPage County,WINFIELD,"['A', 'B', 'CAR', 'OR']",4,163
46,Illinois,Jersey County,JERSEYVILLE,"['A', 'B', 'I', 'O']",4,13
