ID,state,muni,county,zoning,zoning_name,likelyres,count_zoning
115,MD,Baltimore City,Baltimore,R-2,Detached and Semi-Detached Residential Zoning District,1,99
168,MD,Oxford,Talbot,R-2,Historic Residential District,1,99
188,MD,Frederick,Frederick,R-2,Low Density Residential,1,99
209,MD,Bel Air,Harford,R-2,Medium Density Residential,1,99
219,MD,Hurlock,Dorchester,R-2,Medium-density Residential District,1,99
305,MD,Federalsburg,Caroline,R-2,One-and-Two Family Residential,1,99
365,MD,Queens Town,Queen Anne's,R-2,Residential,1,99
384,MD,Princess Anne,Somerset,R-2,Residential (higher density),1,99
385,MD,Centreville,Queen Anne's,R-2,Residential (median density),1,99
404,MD,St. Michaels,Talbot,R-2,Residential District,1,99
411,MD,Berlin,Worcester,R-2,Residential District ,1,99
419,MD,Crisfield,Somerset,R-2,Residential Medium Density,1,99
470,MD,Charlestown,Cecil,R-2,"Residential, Medium Density",1,99
487,MD,Calvert,Calvert,R-2,Residential; No zoning data but significant in parcel data,1,99
564,MD,Millington,Kent,R-2,Single Family Residential District,1,99
566,MD,Chestertown,Kent,R-2,Single family residential district ,1,99
586,MD,Elkton,Cecil,R-2,Suburban Residential District,1,99
592,MD,Worcester,Worcester,R-2,Suburban Residential District ,1,99
1172,NJ,Bayonne city,Hudson County,R-2,Detached/Attached Residential,1,99
1363,NJ,Guttenberg,Hudson County,R-2,High Density Residential ,1,99
1588,NJ,North Bergen township,Hudson County,R-2,Intermediate-density residential,1,99
1799,NJ,Rahway,Union County,R-2,medium density single family residential zone,1,99
1808,NJ,Glassboro,Gloucester County,R-2,Medium-Density Residential  (Detached Single-Family),1,99
1809,NJ,Glassboro,Gloucester County,R-2,Medium-Density Residential  (Two-Family),1,99
1810,NJ,Milford Borough,Hunterdon County,R-2,Medium-Density Residential - 2,1,99
1816,NJ,Bloomsbury Borough,Hunterdon County,R-2,Medium-Low Density Residential,1,99
1922,NJ,High Bridge Borough,Hunterdon County,R-2,Moderate Density Residential,1,99
2295,NJ,Bogota,Bergen County,R-2,One and Two Family Residential,1,99
2296,NJ,Cliffside Park,Bergen County,R-2,one and two family residential zone,1,99
2299,NJ,Kearny town,Hudson County,R-2,One and Two-Family Residential,1,99
2332,NJ,Long Branch city,Monmouth,R-2,One-Family Residential,1,99
2887,NJ,Pennsville,Salem County,R-2,Residential ,1,99
2895,NJ,Hampton Borough,Hunterdon County,R-2,Residential - 2A,1,99
2913,NJ,Randolph Township,Morris County,R-2,Residential - Single Family,1,99
2921,NJ,Lopatcong Township,Warren County,R-2,Residential (2 acre),1,99
2930,NJ,Howell,Monmouth County,R-2,Residential 2,1,99
2931,NJ,Mount Olive Township,Morris County,R-2,Residential 2 DU/AC,1,99
3083,NJ,Sparta Township,Sussex County,R-2,Residential Zone - 20000 SF,1,99
3089,NJ,Mountain Lakes Borough,Morris County,R-2,Residential Zone - Single Family,1,99
3094,NJ,Sparta,Sussex County,R-2,"Residential Zone-20,000 sqft lot",1,99
3101,NJ,Chester Borough,Morris County,R-2,"Residential, two acre",1,99
3270,NJ,Edgewater,Bergen County,R-2,singe and two family residential district,1,99
3283,NJ,Atlantic City,Atlantic County,R-2,Single family Detached Residential District,1,99
3305,NJ,Township of North Brunswick,Middlesex County,R-2,single family residential,1,99
3323,NJ,Franklin Borough,Sussex County,R-2,Single Family Residential (one acre),1,99
3333,NJ,Lakehurst,Ocean County,R-2,SINGLE FAMILY RESIDENTIAL ZONE,1,99
3407,NJ,New Brunswick,Middlesex County,R-2,Single-family residential,1,99
3444,NJ,Andover,Sussex County,R-2,Single-Family Residential ,1,99
3529,NJ,Monroe,Gloucester County,R-2,Suburban Residential Option District,1,99
3610,NJ,Fair Lawn,Bergen County,R-2,two family residential,1,99
3612,NJ,Elizabeth,Union County,R-2,two family residential zone ,1,99
3297,NJ,Hopatcong Borough,Sussex County,R-2,"Single -Family Residence Zone, 60000 sqft lots",1,99
3339,NJ,East Brunswick,Middlesex County,R-2,Single Family Suburban Residence District,1,99
3371,NJ,White Township,Warren County,R-2,Single-Family Detached Residence District,1,99
3386,NJ,Rockaway Borough,Morris County,R-2,Single-Family Residence,1,99
3389,NJ,Bound Brook,Somerset County,R-2,Single-Family Residence District,1,99
3392,NJ,Hopatcong Borough,Sussex County,R-2,Single-Family Residence Zone,1,99
440,MD,North Beach,Calvert,R-2,Residential- single family & multifamily,1,99
1166,NJ,Mendham Township,Morris County,R-2,Detached Single Dwelling,1,99
3343,NJ,Dover Town,Morris County,R-2,Single-Family,1,99
96,MD,Carroll,Carroll,C,Conservation District,,23
99,MD,Hagerstown,Washington,C,Conversion District ,,23
2304,NJ,Cranford,Union County,R-2,one family detached residence district,1,99
2310,NJ,Clinton Town,Hunterdon County,R-2,One Family Residence District,1,99
3609,NJ,Roselle Park,Union County,R-2,two family residence,1,99
259,MD,Preston ,Caroline,R-2,Multi-Family Residential,1,99
84,MD,Rock Hall,Kent,C-1,Community Commercial District,,38
1959,NJ,Jersey City,Hudson County,R-2,Multifamily Attached Housing,1,99
2665,NJ,Denville Township,Morris County,R-2,Residence,1,99
2717,NJ,Byram Township,Sussex County,R-2,Residence 5 Acres,1,99
2724,NJ,Butler Borough,Morris County,R-2,Residence District,1,99
2752,NJ,Hoboken,Hudson County,R-2,Residence District (Stabilization),1,99
226,MD,Rising Sun,Cecil,R-2,Mixed Residential District,1,99
122,MD,Baltimore City,Baltimore,R-1,Detached Residential Zoning District,1,98
187,MD,Frederick,Frederick,R-1,Low Density Residential,1,98
85,MD,Baltimore City,Baltimore,C-2,Community Commercial Zoning District,,34
194,MD,Bel Air,Harford,R-1,Low Density Residential ,1,98
196,MD,Rock Hall,Kent,R-1,Low Density Residential District,1,98
197,MD,Hurlock,Dorchester,R-1,Low-density  Residential District,1,98
366,MD,Princess Anne,Somerset,R-1,Residential,1,98
401,MD,Oxford,Talbot,R-1,Residential District,1,98
410,MD,Berlin,Worcester,R-1,Residential District ,1,98
417,MD,Crisfield,Somerset,R-1,Residential Low Density,1,98
